[backend] INFO:     Started server process [2532]
[backend] [Config] LLM provider: deepseek
[backend] INFO:     Waiting for application startup.
[backend] 2026-07-09 16:40:55 | engine.explore.explore_engine | INFO     | [engine] fighter explore start pos=(19,19) scene=village_elderwood
[backend] 2026-07-09 16:40:55 | engine.explore.explore_engine | INFO     | [engine] fighter explore: (19,19) → (8,15) | 酒馆后门的台阶上有一串湿脚印，通向小巷深处，泥里还嵌着一枚银
[backend] 2026-07-09 16:40:55 | engine.combat.combat_engine | INFO     | [combat] rogue → skeleton : 他一个侧身躲过挥来的木棒，匕首顺势刺入敌人的软肋，地精发出一 (defeated=True)
[backend] 2026-07-09 16:40:55 | engine.talk.talk_engine  | INFO     | [engine] wizard ↔ blacksmith : 4 turns
2026-07-09 16:40:55 | performance              | INFO     | [performance] pc.act tick=1 28.6ms
2026-07-09 16:40:55 | uvicorn.access           | INFO     | 127.0.0.1:61292 - "POST /api/world/mock_world/loop/pause HTTP/1.1" 200
[backend] 2026-07-09 16:40:55 | graph                    | ERROR    | [graph] unknown tick=1 error
[backend] 2026-07-09 16:40:55 | graph                    | ERROR    | [graph] unknown tick=1 error
[backend] 2026-07-09 16:40:55 | graph                    | ERROR    | [graph] unknown tick=1 error
[backend] 2026-07-09 16:40:55 | tick_runner              | INFO     | [batch] Cancelled for world mock_world after 0 ticks
[backend] 2026-07-09 16:40:55 | tick_runner              | INFO     | [batch] Finished world mock_world: 0/1 ticks
[backend] 2026-07-09 16:40:55 | repo.event_repo          | INFO     | [repo] deleted events for world=mock_world
[backend] 2026-07-09 16:40:55 | graph.checkpoints        | INFO     | [graph] checkpointer type=memory
[backend] 2026-07-09 16:40:55 | orchestrator             | INFO     | [orchestrator] reset complete for mock_world
[backend] 2026-07-09 16:40:55 | api                      | INFO     | [api] world.reset world=mock_world
[backend] 2026-07-09 16:40:55 | uvicorn.access           | INFO     | 127.0.0.1:61294 - "POST /api/world/mock_world/reset HTTP/1.1" 200
[backend] 2026-07-09 16:40:55 | api                      | INFO     | [api] tick.batch world=mock_world:1
[backend] 2026-07-09 16:40:55 | tick_runner              | INFO     | [batch] Started 1 ticks for world mock_world
[backend] 2026-07-09 16:40:55 | uvicorn.access           | INFO     | 127.0.0.1:50489 - "POST /api/world/mock_world/tick/batch/1 HTTP/1.1" 200
[backend] 2026-07-09 16:40:56 | engine.dm.dm_engine      | INFO     | [engine] dm_create tick=1 world=mock_world
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] dm.create tick=1 950.8ms
[backend] 2026-07-09 16:40:56 | uvicorn.access           | INFO     | 127.0.0.1:61312 - "GET /api/metrics/summary?world_id=mock_world&last_n=100 HTTP/1.1" 200
[backend] [Config] LLM provider: deepseek
2026-07-09 16:40:56 | uvicorn.access           | INFO     | 127.0.0.1:50492 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:40:56 | uvicorn.access           | INFO     | 127.0.0.1:59602 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] data.load_world tick=1 1.1ms
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] data.load_scene tick=1 0.3ms
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] data.load_actors tick=1 0.4ms
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] data.load_pcs tick=1 0.3ms
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] data.load_scene_objects tick=1 0.4ms
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] tick_init.assign_positions tick=1 0.0ms
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] tick_init.dm_create_event tick=1 0.0ms
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] tick_init.scene_setup_snapshot tick=1 0.1ms
[backend] 2026-07-09 16:40:56 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=cleric
[backend] 2026-07-09 16:40:56 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=fighter
[backend] 2026-07-09 16:40:56 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=rogue
[backend] 2026-07-09 16:40:56 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=wizard
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] pc.decide tick=1 1.5ms
[backend] 2026-07-09 16:40:56 | engine.talk.talk_engine  | INFO     | [engine] cleric ↔ merchant : 4 turns
[backend] 2026-07-09 16:40:56 | engine.talk.talk_engine  | INFO     | [engine] fighter ↔ merchant : 4 turns
[backend] 2026-07-09 16:40:56 | engine.combat.combat_engine | INFO     | [combat] rogue → goblin : 他挥剑劈向地精，剑锋在烛光下划出一道弧光，将敌人逼得连退两步 (defeated=False)
[backend] 2026-07-09 16:40:56 | engine.explore.explore_engine | INFO     | [engine] wizard explore start pos=(21,19) scene=village_elderwood
[backend] 2026-07-09 16:40:56 | engine.explore.explore_engine | INFO     | [engine] wizard explore: (21,19) → (12,8) | 窗台上摆着一个积满灰尘的陶罐，罐底隐约可见缕刻的纹路——像是
[backend] 2026-07-09 16:40:56 | performance              | INFO     | [performance] pc.act tick=1 2.5ms
[backend] 2026-07-09 16:40:56 | service.event_service    | INFO     | [service] flushed events tick=1 count=10
[backend] 2026-07-09 16:40:57 | engine.dm.dm_engine      | INFO     | [engine] dm_narrate tick=1 narrative_len=111
[backend] 2026-07-09 16:40:57 | performance              | INFO     | [performance] dm.narrate tick=1 741.0ms
[backend] 2026-07-09 16:40:57 | uvicorn.access           | INFO     | 127.0.0.1:59048 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:40:57 | repo.dm_record_repo      | INFO     | [repo] save_plot_brief tick=1
[backend] 2026-07-09 16:40:57 | service.data_service     | INFO     | [data] wrote dm_record tick=1
[backend] 2026-07-09 16:40:57 | repo.event_repo          | INFO     | [repo] insert tick=1 count=11
2026-07-09 16:40:57 | service.data_service     | INFO     | [data] wrote events tick=1 count=11
[backend] 2026-07-09 16:40:57 | service.data_service     | INFO     | [data] persisted pcs count=4 tick=1
[backend] 2026-07-09 16:40:57 | service.data_service     | INFO     | [data] persisted actors count=6 tick=1
[backend] 2026-07-09 16:40:57 | performance              | INFO     | [performance] data.persist tick=1 37.4ms
[backend] 2026-07-09 16:40:57 | performance              | INFO     | [performance] tick tick=1
[backend] 2026-07-09 16:40:57 | utils.metrics            | INFO     | [metrics] tick=1 latency=1792ms llm=0 tokens=0/0 cost=$0.000000
[backend] 2026-07-09 16:40:57 | tick_runner              | INFO     | [batch] Finished world mock_world: 1/1 ticks
[backend] 2026-07-09 16:40:57 | uvicorn.access           | INFO     | 127.0.0.1:60880 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:40:58 | uvicorn.access           | INFO     | 127.0.0.1:60883 - "GET /api/world/mock_world/events?since_tick=0&tick_limit=1 HTTP/1.1" 200
  ok 1 [chromium] › tests\e2e\error-recovery.spec.ts:102:3 › error race & state recovery › UC-28 reset then re-run tick (4.5s)
[backend] [Config] LLM provider: deepseek
2026-07-09 16:40:58 | uvicorn.access           | INFO     | 127.0.0.1:58113 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:40:58 | repo.event_repo          | INFO     | [repo] deleted events for world=mock_world
[backend] 2026-07-09 16:40:58 | graph.checkpoints        | INFO     | [graph] checkpointer type=memory
[backend] 2026-07-09 16:40:58 | orchestrator             | INFO     | [orchestrator] reset complete for mock_world
[backend] 2026-07-09 16:40:58 | api                      | INFO     | [api] world.reset world=mock_world
[backend] 2026-07-09 16:40:58 | uvicorn.access           | INFO     | 127.0.0.1:58115 - "POST /api/world/mock_world/reset HTTP/1.1" 200
[backend] [Config] LLM provider: deepseek
2026-07-09 16:40:58 | uvicorn.access           | INFO     | 127.0.0.1:58118 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:40:58 | uvicorn.access           | INFO     | 127.0.0.1:58121 - "GET /api/world/mock_world/loop/status HTTP/1.1" 200
[backend] 2026-07-09 16:40:59 | api                      | INFO     | [api] tick.batch world=mock_world:1
[backend] 2026-07-09 16:40:59 | tick_runner              | INFO     | [batch] Started 1 ticks for world mock_world
[backend] 2026-07-09 16:40:59 | uvicorn.access           | INFO     | 127.0.0.1:58123 - "POST /api/world/mock_world/tick/batch/1 HTTP/1.1" 200
[backend] 2026-07-09 16:41:00 | engine.dm.dm_engine      | INFO     | [engine] dm_create tick=1 world=mock_world
